source_id,publisher,title,url,accessed_at,source_type,licence_note
wikidata-q18536,Wikidata contributors,The Shard,https://www.wikidata.org/wiki/Q18536,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q243,Wikidata contributors,Eiffel Tower,https://www.wikidata.org/wiki/Q243,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q989733,Wikidata contributors,Torrespaña,https://www.wikidata.org/wiki/Q989733,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q953610,Wikidata contributors,Torre de Cristal,https://www.wikidata.org/wiki/Q953610,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q48435,Wikidata contributors,Basilica and Expiatory Church of the Holy Family,https://www.wikidata.org/wiki/Q48435,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1147977,Wikidata contributors,Torre de Collserola,https://www.wikidata.org/wiki/Q1147977,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q151356,Wikidata contributors,Fernsehturm Berlin,https://www.wikidata.org/wiki/Q151356,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q12512,Wikidata contributors,St. Peter's Basilica,https://www.wikidata.org/wiki/Q12512,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3664909,Wikidata contributors,RAI tower,https://www.wikidata.org/wiki/Q3664909,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q18068,Wikidata contributors,Milan Cathedral,https://www.wikidata.org/wiki/Q18068,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3995200,Wikidata contributors,Allianz Tower,https://www.wikidata.org/wiki/Q3995200,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q181324,Wikidata contributors,Ostankino Tower,https://www.wikidata.org/wiki/Q181324,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q736587,Wikidata contributors,Peter and Paul Cathedral,https://www.wikidata.org/wiki/Q736587,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q4255374,Wikidata contributors,Lakhta Centre,https://www.wikidata.org/wiki/Q4255374,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q142917,Wikidata contributors,Mother Ukraine Monument,https://www.wikidata.org/wiki/Q142917,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1369185,Wikidata contributors,Kyiv TV Tower,https://www.wikidata.org/wiki/Q1369185,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q167566,Wikidata contributors,Palace of Culture and Science,https://www.wikidata.org/wiki/Q167566,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q116847270,Wikidata contributors,Varso Tower,https://www.wikidata.org/wiki/Q116847270,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1413217,Wikidata contributors,Žižkov Television Tower,https://www.wikidata.org/wiki/Q1413217,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q686544,Wikidata contributors,Donauturm,https://www.wikidata.org/wiki/Q686544,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q11819,Wikidata contributors,Hungarian Parliament Building,https://www.wikidata.org/wiki/Q11819,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q25457032,Wikidata contributors,Száva utca TV Tower,https://www.wikidata.org/wiki/Q25457032,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q164150,Wikidata contributors,Palace of the Parliament,https://www.wikidata.org/wiki/Q164150,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1428093,Wikidata contributors,National Cathedral,https://www.wikidata.org/wiki/Q1428093,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q10288,Wikidata contributors,Parthenon,https://www.wikidata.org/wiki/Q10288,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q215003,Wikidata contributors,Belém Tower,https://www.wikidata.org/wiki/Q215003,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q233737,Wikidata contributors,Vasco da Gama Bridge,https://www.wikidata.org/wiki/Q233737,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q18642,Wikidata contributors,Clérigos Church,https://www.wikidata.org/wiki/Q18642,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q54802080,Wikidata contributors,Clérigos Tower and Church,https://www.wikidata.org/wiki/Q54802080,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1134365,Wikidata contributors,Spire of Dublin,https://www.wikidata.org/wiki/Q1134365,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q846365,Wikidata contributors,St Patrick's Cathedral,https://www.wikidata.org/wiki/Q846365,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q180901,Wikidata contributors,Atomium,https://www.wikidata.org/wiki/Q180901,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3533638,Wikidata contributors,Finance Tower,https://www.wikidata.org/wiki/Q3533638,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1816984,Wikidata contributors,Westerkerk,https://www.wikidata.org/wiki/Q1816984,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q969215,Wikidata contributors,Euromast,https://www.wikidata.org/wiki/Q969215,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1140534,Wikidata contributors,Rundetaarn,https://www.wikidata.org/wiki/Q1140534,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q648483,Wikidata contributors,Stockholm City Hall,https://www.wikidata.org/wiki/Q648483,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q10550988,Wikidata contributors,Block Lusten,https://www.wikidata.org/wiki/Q10550988,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q373850,Wikidata contributors,Oslo City Hall,https://www.wikidata.org/wiki/Q373850,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q738015,Wikidata contributors,Helsinki Cathedral,https://www.wikidata.org/wiki/Q738015,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q385150,Wikidata contributors,Yle Transmission Tower,https://www.wikidata.org/wiki/Q385150,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q684948,Wikidata contributors,Grossmünster,https://www.wikidata.org/wiki/Q684948,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1337473,Wikidata contributors,St. Jakob church,https://www.wikidata.org/wiki/Q1337473,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q167193,Wikidata contributors,Frauenkirche,https://www.wikidata.org/wiki/Q167193,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q599148,Wikidata contributors,Olympiaturm,https://www.wikidata.org/wiki/Q599148,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q321291,Wikidata contributors,Main Tower,https://www.wikidata.org/wiki/Q321291,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q701496,Wikidata contributors,Europaturm,https://www.wikidata.org/wiki/Q701496,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q648375,Wikidata contributors,Heinrich Hertz Tower,https://www.wikidata.org/wiki/Q648375,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q4176,Wikidata contributors,Cologne Cathedral,https://www.wikidata.org/wiki/Q4176,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q153646,Wikidata contributors,Colonius,https://www.wikidata.org/wiki/Q153646,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q2578415,Wikidata contributors,Manchester Town Hall,https://www.wikidata.org/wiki/Q2578415,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q110162752,Wikidata contributors,The Bank Tower 2,https://www.wikidata.org/wiki/Q110162752,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q4093,Wikidata contributors,Glasgow,https://www.wikidata.org/wiki/Q4093,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q2502213,Wikidata contributors,Scott Monument,https://www.wikidata.org/wiki/Q2502213,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1258275,Wikidata contributors,Avala Tower,https://www.wikidata.org/wiki/Q1258275,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q312220,Wikidata contributors,Zagreb Cathedral,https://www.wikidata.org/wiki/Q312220,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q790278,Wikidata contributors,Avaz Twist Tower,https://www.wikidata.org/wiki/Q790278,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3437287,Wikidata contributors,Greece–Bosnia and Herzegovina Friendship Building,https://www.wikidata.org/wiki/Q3437287,2026-09-14,tower coordinates and height,CC0 structured data
